,0,1,2,4,5,6,7,8,9,Petrol,Diesel,CNG
39,14750,27,27500,97,0,0,1400,3,1100,1,0,0
40,13950,22,49059,97,0,0,1400,3,1100,1,0,0
41,16750,27,44068,97,1,0,1400,3,1100,1,0,0
42,13950,22,46961,97,0,0,1400,3,1100,1,0,0
43,16950,27,110404,90,0,0,2000,5,1255,0,1,0
44,16950,22,100250,90,0,0,2000,5,1255,0,1,0
45,19000,23,84000,90,0,0,2000,5,1270,0,1,0
46,17950,27,79375,90,1,0,2000,5,1255,0,1,0
47,15800,22,75048,97,1,0,1400,5,1110,1,0,0
48,17950,22,72215,90,1,0,2000,5,1255,0,1,0
49,21950,31,64982,192,1,0,1800,5,1195,1,0,0
50,17950,22,62636,90,1,0,2000,5,1255,0,1,0
51,15750,30,57086,97,1,0,1400,5,1110,1,0,0
52,20500,26,56000,110,1,1,1600,5,1180,1,0,0
53,21950,27,49866,192,1,0,1800,5,1195,1,0,0
54,15500,25,49163,110,0,1,1600,5,1165,1,0,0
55,13250,32,45725,110,1,0,1600,5,1075,1,0,0
56,15250,28,43210,97,0,0,1400,5,1110,1,0,0
57,15250,26,43000,97,0,0,1400,5,1110,1,0,0
58,18950,23,39704,110,1,1,1600,5,1180,1,0,0
59,15999,30,38950,110,1,0,1600,5,1130,1,0,0
60,14950,22,37400,97,1,0,1400,5,1110,1,0,0
61,16500,27,37177,110,0,0,1600,5,1130,1,0,0
62,18750,31,36544,110,1,0,1600,5,1130,1,0,0
63,17950,30,33511,110,1,0,1600,5,1130,1,0,0
64,17950,27,32809,97,1,0,1400,5,1110,1,0,0
65,16950,26,32181,110,1,0,1600,5,1075,1,0,0
66,18950,28,30993,110,1,0,1600,5,1130,1,0,0
67,14950,22,30400,97,1,0,1400,5,1110,1,0,0
68,22250,22,30000,110,1,0,2000,5,1275,0,1,0
69,15950,25,29719,97,1,0,1400,5,1110,1,0,0
70,15950,28,29206,97,1,0,1400,5,1110,1,0,0
71,12995,32,29198,97,1,0,1400,5,1060,1,0,0
72,18950,28,28817,110,1,0,1598,5,1130,1,0,0
73,15750,23,28227,97,1,0,1400,5,1110,1,0,0
74,19950,28,28000,110,0,0,1600,5,1130,1,0,0
75,16950,23,28000,110,1,0,1600,5,1115,1,0,0
76,18750,31,25266,110,1,0,1600,5,1130,1,0,0
77,18450,27,23489,110,0,0,1600,5,1115,1,0,0
78,16895,29,22575,110,1,0,1600,5,1115,1,0,0
79,14900,30,22000,97,1,0,1400,5,1110,1,0,0
80,18950,25,20019,110,1,1,1600,5,1180,1,0,0
81,17250,29,20000,110,1,0,1600,5,1115,1,0,0
82,15450,25,17003,97,1,0,1400,5,1110,1,0,0
83,17950,31,16238,110,1,1,1600,5,1180,1,0,0
84,16650,25,15414,97,1,0,1400,5,1110,1,0,0
85,17450,28,8537,110,1,0,1600,5,1130,1,0,0
86,14900,30,7000,97,1,0,1400,5,1100,1,0,0
87,17950,20,66966,90,1,0,2000,3,1245,0,1,0
88,15950,19,51884,97,1,0,1400,3,1100,1,0,0
89,21950,19,50005,110,1,0,2000,3,1265,0,1,0
90,16450,20,48110,97,1,0,1400,3,1100,1,0,0
91,22250,20,37500,90,1,0,2000,3,1260,0,1,0
92,19950,16,34472,90,1,0,1995,3,1260,0,1,0
93,15950,20,33329,97,1,0,1400,3,1100,1,0,0
94,18900,20,31850,110,0,0,1600,3,1120,1,0,0
95,19950,17,30351,90,1,0,1995,3,1260,0,1,0
96,15950,19,29435,97,1,0,1400,3,1100,1,0,0
97,15950,19,25948,97,1,0,1400,3,1100,1,0,0
98,18750,11,24500,110,1,0,1600,3,1120,1,0,0
99,17450,18,23902,97,1,0,1400,3,1100,1,0,0
100,18990,20,23175,110,1,0,1600,3,1120,1,0,0
101,16250,19,19200,97,1,0,1400,3,1100,1,0,0
102,18500,13,18000,71,0,0,1400,3,1125,1,0,0
103,18500,11,16123,110,1,0,1600,3,1105,1,0,0
104,19450,11,14635,110,1,1,1600,3,1155,1,0,0
105,16950,19,13748,97,1,0,1400,3,1100,1,0,0
106,18800,14,11500,110,1,0,1600,3,1045,1,0,0
107,17450,17,10000,97,1,0,1400,3,1100,1,0,0
108,17950,20,7187,110,1,0,1600,3,1105,1,0,0
109,32500,4,1,116,0,0,2000,5,1480,0,1,0
110,31000,4,4000,116,1,0,2000,5,1480,0,1,0
111,31275,4,1500,116,1,0,2000,5,1480,0,1,0
112,24950,8,13253,116,1,0,2000,5,1320,0,1,0
113,24950,8,13253,116,1,0,2000,5,1320,0,1,0
114,22950,7,10000,116,1,0,2000,5,1270,0,1,0
115,24990,8,6000,90,1,0,2000,5,1280,0,1,0
116,21950,8,10841,90,1,0,2000,5,1270,0,1,0
117,17900,7,1,110,1,0,1600,3,1105,1,0,0
118,19250,20,63000,90,1,0,2000,5,1255,0,1,0
119,22250,17,57313,110,1,0,2000,5,1275,0,1,0
120,18950,13,57037,110,0,0,1600,5,1115,1,0,0
121,19950,19,51099,90,1,0,2000,5,1255,0,1,0
122,16350,14,40010,110,1,0,1600,5,1115,1,0,0
123,18950,20,39115,110,1,0,1600,5,1130,1,0,0
124,16950,17,36012,110,0,0,1600,5,1130,1,0,0
125,21750,16,36000,110,1,0,1600,5,1130,1,0,0
126,15950,20,36000,110,1,0,1600,5,1075,1,0,0
127,16500,20,35000,97,1,0,1400,5,1110,1,0,0
128,17950,17,33740,97,1,0,1400,5,1135,1,0,0
129,15850,13,33477,110,1,0,1600,5,1075,1,0,0
130,16250,20,32627,97,1,0,1400,5,1110,1,0,0
131,15950,20,29797,97,1,0,1400,5,1110,1,0,0
132,16250,19,29441,97,1,0,1400,5,1110,1,0,0
133,15950,13,29371,110,1,0,1600,4,1105,1,0,0
134,16500,20,29000,97,0,0,1400,5,1110,1,0,0
135,16500,19,27821,97,0,0,1400,5,1110,1,0,0
136,18450,19,27371,97,0,0,1400,5,1135,1,0,0
137,16250,13,25170,110,1,0,1600,5,1105,1,0,0
138,23000,11,25000,116,1,0,2000,5,1320,0,1,0
139,19900,20,23000,110,1,0,1600,5,1130,1,0,0
140,16450,20,22588,97,1,0,1400,5,1110,1,0,0
141,23950,19,21684,192,1,0,1800,5,1185,1,0,0
142,19950,13,21428,110,1,0,1600,5,1130,1,0,0
143,18500,16,20629,110,1,0,1600,4,1090,1,0,0
144,18950,15,20270,110,1,0,1600,5,1130,1,0,0
145,16450,16,20105,97,0,0,1400,5,1110,1,0,0
146,20500,20,20000,110,0,1,1600,5,1165,1,0,0
147,24500,13,19988,110,1,0,1600,5,1130,1,0,0
148,19450,19,18328,110,0,0,1600,5,1130,1,0,0
149,20950,14,17896,110,1,1,1600,4,1150,1,0,0
150,17200,20,17300,97,1,0,1400,5,1110,1,0,0
151,19950,19,17038,110,0,0,1600,5,1130,1,0,0
152,18450,10,13747,97,1,0,1400,5,1110,1,0,0
153,19500,12,13634,110,1,0,1600,5,1115,1,0,0
154,21750,13,13178,110,1,0,1600,5,1130,1,0,0
155,16868,15,13157,97,1,0,1400,4,1085,1,0,0
156,19500,16,13000,110,1,0,1600,4,1105,1,0,0
157,18900,11,12500,110,1,0,1600,5,1115,1,0,0
158,19750,17,11999,110,1,0,1600,5,1130,1,0,0
159,19750,16,11754,110,0,1,1600,5,1180,1,0,0
160,18950,16,11000,110,1,0,1600,4,1105,1,0,0
161,20750,17,10000,110,0,0,1598,5,1105,1,0,0
162,19600,9,7650,110,1,0,1600,5,1115,1,0,0
163,19500,14,6500,110,1,0,1600,4,1100,1,0,0
164,17650,11,6155,97,1,0,1400,5,1110,1,0,0
165,19950,14,6000,110,0,0,1600,5,1130,1,0,0
166,19950,14,5459,110,1,0,1600,5,1130,1,0,0
167,20950,14,5278,110,1,1,1600,4,1150,1,0,0
168,20500,12,5000,110,1,0,1600,5,1130,1,0,0
169,17795,9,1,98,1,0,1400,4,1065,1,0,0
170,18245,9,1,110,1,0,1600,5,1075,1,0,0
171,23750,8,11000,110,1,0,1600,5,1130,1,0,0
172,19500,8,10077,97,1,0,1400,5,1110,1,0,0
173,18950,8,10000,97,1,0,1400,5,1110,1,0,0
174,21950,8,9788,110,1,0,1600,5,1130,1,0,0
175,19950,8,8574,110,1,0,1600,5,1130,1,0,0
176,18950,8,7000,110,0,0,1600,5,1115,1,0,0
177,19950,7,6250,110,1,0,1600,5,1115,1,0,0
178,21950,8,5000,110,1,0,1600,5,1130,1,0,0
179,22500,6,3000,110,0,0,1600,5,1130,1,0,0
180,18500,7,2000,110,0,0,1600,5,1075,1,0,0
181,18700,7,450,97,1,0,1400,5,1110,1,0,0
182,21125,2,225,97,1,0,1400,5,1110,1,0,0
183,21500,2,15,110,1,0,1600,5,1130,1,0,0
184,17795,1,1,98,1,0,1400,4,1100,1,0,0
185,18245,1,1,110,1,0,1600,5,1075,1,0,0
186,6950,43,243000,69,0,0,1900,3,1110,0,1,0
187,9500,38,180638,90,0,0,2000,4,1160,0,1,0
188,11950,40,179860,90,1,0,2000,5,1205,0,1,0
189,7750,43,178858,110,0,0,1600,3,1084,0,0,1
190,11950,40,161000,69,1,0,1900,3,1105,0,1,0
191,4350,44,158320,69,0,0,1800,5,1110,0,1,0
192,4750,44,131273,69,1,0,1800,5,1110,0,1,0
193,11750,40,130062,69,1,0,1900,5,1140,0,1,0
194,13250,41,123425,69,1,0,1900,5,1140,0,1,0
195,11950,37,118217,110,1,0,1600,5,1075,1,0,0
196,11900,44,110000,69,1,0,1900,5,1095,0,1,0
197,14750,39,108847,90,1,0,2000,5,1205,0,1,0
198,9950,42,105699,97,1,0,1400,3,1025,1,0,0
199,11950,39,98823,110,1,0,1600,5,1119,0,0,1
200,11495,44,96829,110,1,0,1600,5,1075,1,0,0
201,11250,40,96518,97,1,0,1400,3,1025,1,0,0
202,10500,42,92204,110,1,0,1600,5,1075,1,0,0
203,10450,35,91456,69,1,0,1900,3,1110,0,1,0
204,12950,43,89968,69,1,0,1900,5,1140,0,1,0
205,11500,44,89757,110,1,0,1600,3,1045,1,0,0
206,12500,40,85389,110,1,0,1600,5,1075,1,0,0
207,10950,43,85017,97,0,0,1400,5,1060,1,0,0
208,11450,41,84312,110,0,0,1600,5,1080,1,0,0
209,11950,37,82743,110,1,0,1600,5,1121,0,0,1
210,13250,41,81106,69,1,0,1900,5,1140,0,1,0
211,14750,40,80425,90,1,0,2000,5,1205,0,1,0
212,11790,34,78677,110,1,1,1600,5,1105,1,0,0
213,11450,40,78425,110,1,0,1600,5,1075,1,0,0
214,13500,33,78108,90,1,0,2000,3,1170,0,1,0
215,10950,33,77321,110,1,0,1600,5,1075,1,0,0
216,13500,33,75699,69,0,0,1900,3,1105,0,1,0
217,10950,41,75697,97,1,0,1400,3,1025,1,0,0
218,10950,44,74846,97,1,0,1400,3,1025,1,0,0
219,12950,38,74319,110,1,0,1600,5,1075,1,0,0
220,11950,43,74285,110,1,0,1600,5,1075,1,0,0
221,12450,44,74172,110,1,0,1600,5,1615,1,0,0
222,11950,40,73042,110,1,0,1598,5,1075,1,0,0
223,14950,44,71793,110,1,0,1600,4,1067,0,0,1
224,12450,35,71200,110,1,0,1600,5,1075,1,0,0
225,12950,38,67805,110,1,0,1600,5,1075,1,0,0
226,11950,35,65988,110,1,0,1600,3,1040,1,0,0
227,11690,34,65345,97,1,0,1400,5,1060,1,0,0
228,12450,42,64564,110,1,0,1600,5,1080,1,0,0
229,12750,36,63459,97,1,0,1400,5,1060,1,0,0
230,11925,44,63451,97,0,0,1400,3,1025,1,0,0
231,12950,33,62000,110,1,0,1600,5,1075,1,0,0
232,11950,42,61300,97,1,0,1400,3,1030,1,0,0
233,12900,41,61200,110,1,0,1600,3,1045,1,0,0
234,11900,41,61000,110,0,0,1600,5,1075,1,0,0
235,11650,38,60829,110,1,0,1600,5,1075,1,0,0
236,10950,44,60500,110,0,0,1600,5,1075,1,0,0
237,13950,35,59500,69,1,0,1900,3,1110,0,1,0
238,13950,44,59000,110,0,1,1600,5,1110,1,0,0
239,11950,40,58954,110,1,0,1600,5,1080,1,0,0
240,10950,38,58798,110,1,0,1600,5,1075,1,0,0
241,12450,38,58363,110,1,0,1600,3,1055,1,0,0
242,11950,43,58277,110,1,0,1600,3,1045,1,0,0
243,13500,33,57711,90,1,0,2000,3,1165,0,1,0
244,11690,33,57269,110,1,0,1600,5,1075,1,0,0
245,13500,39,56001,110,1,0,1600,5,1075,1,0,0
246,11950,42,55968,110,0,0,1600,3,1050,1,0,0
247,12900,39,55678,110,1,0,1600,4,1030,1,0,0
248,13500,43,55539,110,1,0,1600,5,1085,1,0,0
249,11750,42,55400,110,0,0,1600,5,1075,1,0,0
250,11750,33,55350,110,0,0,1600,5,1075,1,0,0
251,10850,43,54600,110,0,0,1600,4,1030,1,0,0
252,11750,43,53773,110,1,0,1600,5,1075,1,0,0
253,14950,42,53719,110,1,1,1600,5,1105,1,0,0
254,9940,39,53644,110,1,0,1600,5,1075,1,0,0
255,12900,42,53350,110,0,0,1600,5,1075,1,0,0
256,13500,38,53000,110,1,0,1600,5,1075,1,0,0
257,11750,44,52084,97,1,0,1400,3,1025,1,0,0
258,11950,44,52000,97,0,0,1400,3,1025,1,0,0
259,13450,33,51945,110,1,0,1600,5,1075,1,0,0
260,11950,41,51732,97,1,0,1400,3,1025,1,0,0
261,12495,39,50873,110,1,0,1600,5,1075,1,0,0
262,13500,41,50856,110,0,0,1600,4,1030,1,0,0
263,12750,40,50640,110,1,0,1600,5,1075,1,0,0
264,12000,39,50000,97,1,0,1400,5,1060,1,0,0
265,11950,38,49500,110,1,0,1600,5,1075,1,0,0
266,12495,44,49332,110,1,0,1600,5,1080,1,0,0
267,12450,34,49291,110,1,0,1600,3,1040,1,0,0
268,14750,40,48952,90,1,0,2000,5,1205,0,1,0
269,10950,39,48945,110,0,0,1600,3,1040,1,0,0
270,13500,33,48928,69,1,0,1900,3,1105,0,1,0
271,12950,38,48197,110,1,0,1600,5,1075,1,0,0
272,13500,35,48052,69,1,0,1900,3,1105,0,1,0
273,13450,34,48011,110,1,0,1600,4,1030,1,0,0
274,13500,43,48000,110,1,0,1600,5,1075,1,0,0
275,11480,41,47350,110,1,0,1600,5,1075,1,0,0
276,13450,39,46821,97,1,0,1400,5,1060,1,0,0
277,11495,39,46694,110,0,0,1600,3,1040,1,0,0
278,12750,43,46515,97,0,0,1400,5,1025,1,0,0
279,14990,38,46327,110,1,0,1600,3,1055,1,0,0
280,12950,35,46304,97,1,0,1400,5,1060,1,0,0
281,12950,40,45886,110,1,0,1600,5,1080,1,0,0
282,12850,39,45713,97,1,0,1400,5,1085,1,0,0
283,13950,40,45600,110,1,1,1600,5,1105,1,0,0
284,11950,41,45287,110,1,0,1600,5,1075,1,0,0
285,12950,39,45081,110,1,0,1600,5,1075,1,0,0
286,11700,40,44830,110,1,0,1600,5,1075,1,0,0
287,9950,37,44757,97,0,0,1400,3,1025,1,0,0
288,11895,44,44218,97,1,0,1400,5,1060,1,0,0
289,12950,43,43632,110,1,0,1600,5,1075,1,0,0
290,12500,36,43427,110,1,0,1600,3,1040,1,0,0
291,13875,39,43254,110,1,0,1600,5,1075,1,0,0
292,10500,35,43000,110,0,0,1600,3,1050,1,0,0
293,12295,33,42823,110,1,0,1600,5,1075,1,0,0
294,13950,42,42560,110,1,0,1600,5,1080,1,0,0
295,10950,38,41754,110,0,0,1600,3,1040,1,0,0
296,12950,44,41499,110,1,0,1600,5,1103,0,0,1
297,12850,40,41339,110,1,0,1600,5,1080,1,0,0
298,13995,35,41000,110,1,0,1600,5,1075,1,0,0
299,13750,39,40000,110,1,0,1600,3,1055,1,0,0
300,12750,37,39757,110,1,0,1600,5,1075,1,0,0
301,12500,41,39659,110,1,0,1600,3,1045,1,0,0
302,13950,43,39650,110,0,0,1600,3,1055,1,0,0
303,11500,39,39524,97,1,0,1398,3,1025,1,0,0
304,13950,44,39516,97,1,0,1400,5,1060,1,0,0
305,11895,41,39439,97,0,0,1400,5,1060,1,0,0
306,9950,44,39000,97,1,0,1400,3,1025,1,0,0
307,13500,42,38932,110,1,0,1600,3,1040,1,0,0
308,11450,37,38812,97,0,0,1400,3,1025,1,0,0
309,12450,42,38665,110,1,0,1600,5,1075,1,0,0
310,12950,40,38653,110,1,0,1600,5,1080,1,0,0
311,13995,44,38461,110,1,0,1600,5,1080,1,0,0
312,11750,42,38078,97,0,0,1400,3,1025,1,0,0
313,11650,39,37782,97,1,0,1400,5,1060,1,0,0
314,9950,43,37576,97,0,0,1400,3,1030,1,0,0
315,13950,41,37533,110,1,0,1600,5,1075,1,0,0
316,12950,44,37389,110,1,0,1600,5,1080,1,0,0
317,10950,38,37320,97,1,0,1400,3,1025,1,0,0
318,9900,42,37000,97,1,0,1400,3,1025,1,0,0
319,11950,44,37000,110,0,0,1600,4,1075,1,0,0
320,11990,40,36566,110,0,0,1600,5,1090,1,0,0
321,10750,36,36269,110,1,0,1600,5,1075,1,0,0
322,13950,37,36074,110,1,1,1600,5,1075,1,0,0
323,11250,44,36066,110,1,0,1600,3,1040,1,0,0
324,12950,39,34599,110,1,0,1600,5,1075,1,0,0
325,11950,41,34000,110,1,0,1600,5,1075,1,0,0
326,10950,42,33623,97,1,0,1400,3,1025,1,0,0
327,12950,33,33591,110,1,0,1600,5,1075,1,0,0
328,12950,35,33258,110,1,0,1600,5,1075,1,0,0
329,11695,43,33113,110,1,0,1600,5,1075,1,0,0
330,11000,41,33000,110,1,1,1600,5,1075,1,0,0
331,13950,35,32941,110,1,0,1600,5,1080,1,0,0
332,11950,38,32781,110,0,0,1600,5,1075,1,0,0
333,11750,40,32532,110,1,0,1600,3,1040,1,0,0
334,12400,34,32431,97,1,0,1400,5,1060,1,0,0
335,12500,35,32000,110,0,0,1600,3,1040,1,0,0
336,12900,33,31000,110,1,0,1600,5,1075,1,0,0
337,12200,41,30989,110,0,0,1600,3,1045,1,0,0
338,12750,43,30742,110,1,0,1600,3,1040,1,0,0
339,11950,42,30190,110,1,0,1600,5,1075,1,0,0
340,11900,41,29716,116,1,0,1600,5,1075,1,0,0
341,11950,44,29716,110,1,1,1600,3,1070,1,0,0
342,14950,42,29640,110,0,0,1600,3,1055,1,0,0
343,11950,41,29056,97,1,0,1400,5,1060,1,0,0
344,12950,33,28715,110,1,0,1600,5,1075,1,0,0
345,14950,41,28571,110,0,0,1600,5,1090,1,0,0
346,13450,40,28362,110,1,0,1600,3,1040,1,0,0
347,13750,38,28150,110,1,0,1600,5,1075,1,0,0
348,12950,43,27301,110,1,0,1600,3,1040,1,0,0
349,12750,33,27240,110,1,0,1600,5,1075,1,0,0
350,11895,39,27170,97,1,0,1400,5,1060,1,0,0
351,9950,42,27141,97,1,0,1400,5,1060,1,0,0
352,12450,38,26262,110,1,0,1600,5,1075,1,0,0
353,12500,38,26000,97,1,0,1400,5,1060,1,0,0
354,14950,43,25228,110,1,0,1600,3,1045,1,0,0
355,13750,39,25062,110,1,0,1600,5,1080,1,0,0
356,12695,39,24723,110,1,1,1600,4,1060,1,0,0
357,14990,33,24650,110,1,0,1600,3,1055,1,0,0
358,12750,43,24553,110,1,0,1600,5,1080,1,0,0
359,14350,41,24475,110,1,0,1600,5,1030,1,0,0
360,12950,39,24444,110,1,0,1600,3,1040,1,0,0
361,11500,35,24011,97,0,0,1400,3,1025,1,0,0
362,11950,41,24000,97,1,0,1400,3,1025,1,0,0
363,13450,40,23616,110,1,0,1600,5,1075,1,0,0
364,12900,38,22865,110,1,0,1600,5,1075,1,0,0
365,10500,41,22780,86,1,0,1300,5,1035,1,0,0
366,10950,35,21904,97,0,0,1400,3,1025,1,0,0
367,11950,41,21651,97,0,0,1400,3,1025,1,0,0
368,11450,37,21500,110,1,0,1600,5,1030,1,0,0
369,13250,44,21027,110,1,0,1600,5,1080,1,0,0
370,10250,39,18500,110,0,0,1600,4,1030,1,0,0
371,13995,35,18000,110,1,0,1600,5,1075,1,0,0
372,11950,40,17051,97,0,0,1400,5,1060,1,0,0
373,13250,33,16512,97,1,0,1400,5,1085,1,0,0
374,12950,40,16325,110,1,0,1600,5,1080,1,0,0
375,11750,38,16000,97,1,0,1400,5,1060,1,0,0
376,11500,39,12000,110,1,0,1600,5,1075,1,0,0
377,13500,43,10000,97,1,0,1400,5,1060,1,0,0
378,6500,53,216000,69,0,0,1900,3,1110,0,1,0
379,6400,51,198167,69,0,0,1900,4,1095,0,1,0
380,7000,53,176000,69,0,0,1900,3,1105,0,1,0
381,7750,54,174139,72,1,0,2000,4,1100,0,1,0
382,8900,45,174000,69,1,0,1900,5,1095,0,1,0
383,8500,55,150000,110,1,0,1600,3,1075,0,0,1
384,8950,54,149329,72,1,0,2000,5,1135,0,1,0
385,9900,51,146736,110,1,0,1600,5,1080,1,0,0
386,10250,53,143513,69,0,0,1900,5,1140,0,1,0
387,9250,48,142130,110,0,0,1600,5,1119,0,0,1
388,7750,48,140700,69,1,0,1900,5,1110,0,1,0
389,9450,54,138394,69,1,0,1900,4,1095,0,1,0
390,7750,55,137000,72,1,0,2000,5,1135,0,1,0
391,8250,52,135258,69,1,0,1900,5,1140,0,1,0
392,9950,49,131364,110,1,0,1600,5,1075,1,0,0
393,4450,56,129155,69,0,0,1800,5,1110,0,1,0
394,9950,50,126110,110,0,0,1600,3,1055,1,0,0
395,9000,48,119742,110,1,0,1600,5,1080,1,0,0
396,9950,53,117913,69,1,0,1900,5,1110,0,1,0
397,12450,47,117430,90,1,0,2000,3,1165,0,1,0
398,10500,55,117175,110,1,0,1600,4,1035,1,0,0
399,10750,54,115558,110,1,0,1600,4,1035,1,0,0
400,8950,53,115113,97,1,0,1400,3,1025,1,0,0
401,10500,54,115046,69,1,0,1900,5,1140,0,1,0
402,5150,56,113997,72,1,0,2000,5,1135,0,1,0
403,10950,49,107859,97,0,0,1400,5,1060,1,0,0
404,9450,52,104805,97,1,0,1400,3,1025,1,0,0
405,9950,54,103454,110,1,0,1600,5,1075,1,0,0
406,10950,51,103018,69,0,0,1900,5,1140,0,1,0
407,11900,47,102352,110,1,0,1600,5,1080,1,0,0
408,9950,50,102030,97,1,0,1400,5,1060,1,0,0
409,11950,54,101352,110,0,0,1600,5,1080,1,0,0
410,7900,50,99865,110,1,0,1600,4,1035,1,0,0
411,10950,52,99323,110,1,0,1600,3,1055,1,0,0
412,8950,48,98100,69,1,0,1900,5,1140,0,1,0
413,11950,51,98040,110,0,0,1600,5,1080,1,0,0
414,10900,49,97600,110,1,0,1600,3,1045,1,0,0
415,9950,55,97234,110,0,0,1600,5,1080,1,0,0
416,9950,51,96135,72,0,0,2000,3,1115,0,1,0
417,10950,54,96100,110,1,0,1600,5,1080,1,0,0
418,8950,55,94401,72,0,0,2000,3,1115,0,1,0
419,8950,55,94122,86,1,0,1300,3,1015,1,0,0
420,10500,49,91340,110,1,0,1600,3,1055,1,0,0
421,8950,53,90200,97,0,0,1400,3,1025,1,0,0
422,9250,53,90097,69,1,0,1900,5,1140,0,1,0
423,11500,48,89049,97,1,0,1400,5,1060,1,0,0
424,9750,52,89000,110,0,0,1600,5,1075,1,0,0
425,9950,45,87274,110,1,0,1600,3,1040,1,0,0
426,11450,49,86221,110,0,0,1600,3,1045,1,0,0
427,12500,54,84598,110,0,0,1600,5,1075,1,0,0
428,10500,50,83567,110,0,0,1600,5,1075,1,0,0
429,12950,50,83106,110,1,0,1600,5,1075,1,0,0
430,12200,50,82805,110,1,0,1600,3,1040,1,0,0
431,10950,50,82735,97,1,0,1400,3,1030,1,0,0
432,10950,54,81905,110,1,0,1600,5,1105,1,0,0
433,11290,49,80320,110,1,1,1600,3,1070,1,0,0
434,10750,49,80090,97,1,0,1400,3,1030,1,0,0
435,10895,53,79800,110,0,0,1600,5,1075,1,0,0
436,11500,47,78785,110,1,0,1600,5,1119,0,0,1
437,9750,48,78600,110,1,0,1600,5,1075,1,0,0
438,10250,55,77780,110,0,0,1600,3,1040,1,0,0
439,12500,49,77648,110,0,0,1600,4,1030,1,0,0
440,11950,54,77270,110,1,0,1600,4,1035,1,0,0
441,10750,50,76167,97,1,0,1400,5,1060,1,0,0
442,11450,46,75249,110,1,0,1600,4,1035,1,0,0
443,11950,54,75231,110,1,0,1600,5,1080,1,0,0
444,11750,48,75045,110,1,0,1600,3,1055,1,0,0
445,10950,50,74849,110,1,1,1600,4,1060,1,0,0
446,11950,55,74715,110,1,0,1600,5,1080,1,0,0
447,10995,49,74656,69,0,0,1900,3,1105,0,1,0
448,11450,56,74500,97,0,0,1400,3,1025,1,0,0
449,8900,49,74494,110,1,0,1600,5,1075,1,0,0
450,10500,50,73634,110,0,0,1587,5,1075,1,0,0
451,11750,47,73403,110,1,0,1600,5,1075,1,0,0
452,11450,49,73175,97,1,0,1400,3,1030,1,0,0
453,12000,52,73000,110,0,0,1600,3,1055,1,0,0
454,11950,50,72242,110,0,1,1600,3,1070,1,0,0
455,9850,53,72000,97,1,0,1400,3,1025,1,0,0
456,10950,54,71725,110,1,0,1600,4,1035,1,0,0
457,10950,54,71276,110,0,0,1600,5,1080,1,0,0
458,8695,50,70440,69,1,0,1900,3,1105,0,1,0
459,10990,53,70239,110,0,0,1600,3,1040,1,0,0
460,9500,55,69813,97,1,0,1400,3,1025,1,0,0
461,11950,49,69659,86,0,0,1300,3,1025,1,0,0
462,10750,46,69574,97,0,0,1400,5,1065,1,0,0
463,8750,47,69000,69,1,0,1900,5,1140,0,1,0
